rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
155,frame_0032.jpg,12.8,0.4237,0.3616,0.1429,1.0,5,1,False,False
156,frame_0315.jpg,126.0,0.4196,0.534,0.4286,0.12,5,3,False,False
157,frame_0097.jpg,38.8,0.4192,0.5493,0.4286,0.08,6,3,False,False
158,frame_0307.jpg,122.8,0.4164,0.4956,0.4286,0.2,10,3,False,False
159,frame_0308.jpg,123.2,0.4161,0.511,0.4286,0.16,5,3,False,False
160,frame_0273.jpg,109.2,0.4146,0.6098,0.2857,0.12,4,2,False,False
161,frame_0399.jpg,159.6,0.4122,0.4552,0.4286,0.28,5,3,False,False
162,frame_0268.jpg,107.2,0.4074,0.6113,0.2857,0.08,5,2,False,False
163,frame_0390.jpg,156.0,0.4062,0.5232,0.4286,0.08,7,3,False,False
164,frame_0190.jpg,76.0,0.4052,0.5052,0.4286,0.12,4,3,False,False
165,frame_0010.jpg,4.0,0.4051,0.4102,0.0,1.0,1,0,False,False
166,frame_0110.jpg,44.0,0.4041,0.4173,0.5714,0.12,4,4,False,False
167,frame_0108.jpg,43.2,0.4038,0.5344,0.4286,0.04,5,3,False,False
168,frame_0111.jpg,44.4,0.4026,0.5697,0.2857,0.16,4,2,False,False
169,frame_0267.jpg,106.8,0.4023,0.4995,0.4286,0.12,5,3,False,False
170,frame_0321.jpg,128.4,0.4011,0.465,0.4286,0.2,8,3,False,False
171,frame_0191.jpg,76.4,0.3993,0.6489,0.1429,0.16,4,1,False,False
172,frame_0376.jpg,150.4,0.3976,0.6454,0.1429,0.16,7,1,False,False
173,frame_0316.jpg,126.4,0.3967,0.4722,0.4286,0.16,6,3,False,False
174,frame_0117.jpg,46.8,0.3961,0.4607,0.2857,0.4,5,2,False,False
175,frame_0281.jpg,112.4,0.3952,0.4429,0.2857,0.44,5,2,False,False
176,frame_0309.jpg,123.6,0.3941,0.4831,0.4286,0.12,5,3,False,False
177,frame_0280.jpg,112.0,0.3932,0.455,0.2857,0.4,5,2,False,False
178,frame_0398.jpg,159.2,0.3912,0.515,0.2857,0.24,6,2,False,False
179,frame_0300.jpg,120.0,0.3906,0.4178,0.2857,0.48,5,2,False,False
180,frame_0024.jpg,9.6,0.3903,0.3807,0.0,1.0,2,0,False,False
181,frame_0219.jpg,87.6,0.3872,0.4749,0.2857,0.32,3,2,False,False
182,frame_0188.jpg,75.2,0.3868,0.5862,0.2857,0.04,8,2,False,False
183,frame_0370.jpg,148.0,0.386,0.4132,0.5714,0.04,8,4,False,False
184,frame_0232.jpg,92.8,0.3819,0.5981,0.1429,0.2,7,1,False,False
